Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Exit Type
2023-11-15 16:11:00,36329.9,2023-11-15 16:43:00,36339.2,53.97,53.18,0.4,0.4,-0.79,-1.46,Signal Exit
2023-11-15 17:01:00,36319.8,2023-11-15 17:02:00,36308.7,53.18,52.37,0.4,0.4,-0.81,-1.52,Signal Exit
2023-11-15 17:03:00,36275.5,2023-11-15 17:35:00,36393.4,52.37,51.76,0.39,0.39,-0.61,-1.17,Signal Exit
2023-11-15 17:44:00,36349.1,2023-11-15 17:48:00,36397.7,51.76,51.05,0.39,0.39,-0.7,-1.36,Signal Exit
2023-11-17 14:38:00,36212.9,2023-11-17 17:03:00,36541.8,51.05,50.75,0.38,0.38,-0.3,-0.59,Signal Exit
2023-11-17 18:23:00,36350.4,2023-11-17 18:28:00,36383.4,50.75,50.04,0.38,0.38,-0.71,-1.4,Signal Exit
2023-11-17 19:42:00,36304.6,2023-11-17 19:50:00,36299.7,50.04,49.29,0.37,0.37,-0.75,-1.5,Signal Exit
2023-11-17 19:51:00,36306.2,2023-11-17 20:03:00,36324.1,49.29,48.58,0.37,0.37,-0.71,-1.44,Signal Exit
2023-11-18 03:23:00,36333.2,2023-11-18 03:24:00,36341.0,48.58,47.87,0.36,0.36,-0.71,-1.47,Signal Exit
2023-11-18 03:26:00,36326.4,2023-11-18 03:38:00,36345.0,47.87,47.18,0.36,0.36,-0.69,-1.44,Signal Exit
2023-11-18 03:40:00,36325.0,2023-11-18 03:46:00,36333.2,47.18,46.49,0.35,0.35,-0.69,-1.47,Signal Exit
2023-11-18 03:52:00,36327.1,2023-11-18 04:17:00,36373.2,46.49,45.85,0.35,0.35,-0.63,-1.36,Signal Exit
2023-11-18 04:21:00,36368.5,2023-11-18 04:22:00,36376.3,45.85,45.18,0.34,0.34,-0.67,-1.47,Signal Exit
2023-11-18 04:31:00,36351.5,2023-11-18 04:34:00,36336.3,45.18,44.49,0.34,0.34,-0.69,-1.53,Signal Exit
2023-11-18 04:39:00,36344.1,2023-11-18 04:40:00,36346.0,44.49,43.83,0.33,0.33,-0.66,-1.48,Signal Exit
2023-11-18 04:49:00,36355.4,2023-11-18 04:53:00,36368.3,43.83,43.19,0.33,0.33,-0.64,-1.45,Signal Exit
2023-11-18 04:54:00,36358.6,2023-11-18 06:56:00,36221.3,43.19,42.39,0.32,0.32,-0.8,-1.86,Signal Exit
2023-11-18 06:57:00,36221.1,2023-11-18 06:58:00,36217.3,42.39,41.75,0.32,0.32,-0.64,-1.5,Signal Exit
2023-11-18 06:59:00,36210.1,2023-11-18 07:00:00,36217.4,41.75,41.14,0.31,0.31,-0.61,-1.47,Signal Exit
2023-11-18 08:03:00,36353.5,2023-11-18 08:04:00,36363.3,41.14,40.54,0.31,0.31,-0.6,-1.46,Signal Exit
2023-11-19 08:41:00,36623.3,2023-11-19 08:51:00,36603.5,40.54,39.91,0.3,0.3,-0.63,-1.54,Signal Exit
2023-11-19 09:18:00,36573.0,2023-11-19 09:20:00,36594.4,39.91,39.34,0.3,0.3,-0.57,-1.43,Signal Exit
2023-11-19 09:23:00,36592.3,2023-11-19 09:30:00,36608.2,39.34,38.77,0.29,0.29,-0.57,-1.45,Signal Exit
2023-11-19 09:31:00,36604.9,2023-11-19 09:36:00,36621.0,38.77,38.21,0.29,0.29,-0.56,-1.45,Signal Exit
2023-11-19 09:42:00,36628.3,2023-11-19 09:44:00,36632.0,38.21,37.65,0.28,0.28,-0.57,-1.48,Signal Exit
2023-11-19 09:45:00,36635.4,2023-11-19 10:06:00,36589.4,37.65,37.04,0.28,0.28,-0.61,-1.61,Signal Exit
2023-11-19 10:07:00,36576.4,2023-11-19 16:20:00,36569.0,37.04,36.48,0.28,0.28,-0.56,-1.51,Signal Exit
2023-11-19 16:21:00,36565.7,2023-11-19 18:11:00,36588.9,36.48,35.96,0.27,0.27,-0.52,-1.43,Signal Exit
2023-11-21 23:55:00,35908.1,2023-11-22 00:07:00,35891.6,35.96,35.41,0.27,0.27,-0.55,-1.53,Signal Exit
2023-11-23 16:58:00,37050.1,2023-11-23 17:01:00,37055.6,35.41,34.89,0.26,0.26,-0.52,-1.47,Signal Exit
2023-11-23 19:04:00,37176.3,2023-11-23 19:07:00,37183.3,34.89,34.37,0.26,0.26,-0.51,-1.47,Signal Exit
2023-11-26 10:08:00,37718.7,2023-11-26 10:13:00,37707.0,34.37,33.85,0.26,0.26,-0.52,-1.52,Signal Exit
2023-11-26 11:10:00,37664.1,2023-11-26 11:13:00,37661.7,33.85,33.34,0.25,0.25,-0.51,-1.5,Signal Exit
2023-11-26 11:15:00,37669.4,2023-11-26 11:16:00,37676.1,33.34,32.85,0.25,0.25,-0.49,-1.47,Signal Exit
2023-11-26 11:17:00,37679.3,2023-11-26 11:19:00,37680.8,32.85,32.37,0.24,0.24,-0.49,-1.48,Signal Exit
2023-11-26 11:20:00,37685.3,2023-11-26 11:27:00,37675.2,32.37,31.88,0.24,0.24,-0.49,-1.52,Signal Exit
2023-11-26 12:22:00,37598.5,2023-11-26 20:52:00,37595.8,31.88,31.4,0.24,0.24,-0.48,-1.5,Signal Exit
2023-11-26 20:53:00,37563.0,2023-11-26 21:01:00,37578.2,31.4,30.94,0.23,0.23,-0.45,-1.45,Signal Exit
2023-11-26 21:02:00,37573.5,2023-11-26 21:35:00,37514.2,30.94,30.44,0.23,0.23,-0.51,-1.64,Signal Exit
2023-11-26 21:36:00,37510.5,2023-11-26 21:41:00,37523.9,30.44,29.99,0.23,0.23,-0.44,-1.45,Signal Exit
2023-11-26 23:00:00,37591.2,2023-12-05 15:34:00,42232.6,29.99,33.19,0.22,0.25,3.2,10.67,Signal Exit
2023-12-11 18:10:00,41038.8,2023-12-11 18:19:00,41079.4,33.19,32.73,0.25,0.25,-0.46,-1.39,Signal Exit
2023-12-11 18:20:00,41009.2,2023-12-11 21:07:00,40933.4,32.73,32.19,0.24,0.24,-0.55,-1.67,Signal Exit
2023-12-12 17:33:00,40813.0,2023-12-12 17:38:00,40880.4,32.19,31.76,0.24,0.24,-0.43,-1.33,Signal Exit
